Patient168_T	Patient102_T_P	Patient169_T	Patient156_T	Patient48_T_M	Patient63_T_P	Patient155_T	Patient125_T_P	Patient135_T	Patient148_T	Patient15_T_M	Patient152_T	Patient21_T_M	Patient133_T	Patient163_T	Patient8_T_M	Patient4_T_M	Patient99_T_P	Patient105_T_P	Patient165_T	Patient38_T_M	Patient126_T_P	Patient10_T_M	Patient22_T_M	Patient16_T_M	Patient72_T_P	Patient6_T_M	Patient23_T_M	Patient134_T	Patient83_T_P	Patient121_T_P	Patient18_T_M	Patient132_T	Patient77_T_P	Patient131_T	Patient9_T_M	Patient79_T_P	Patient141_T	Patient34_T_M	Patient187_T	Patient146_T	Patient116_T_P	Patient82_T_P	Patient94_T_P	Patient166_T	Patient170_T	Patient173_T	Patient7_T_M	Patient11_T_M	Patient151_T	Patient31_T_M	Patient67_T_P	Patient36_T_M	Patient17_T_M	Patient154_T	Patient87_T_P	Patient1_T_M	Patient100_T_P	Patient153_T	Patient75_T_P	Patient61_T_P	Patient35_T_M	Patient32_T_M	Patient25_T_M	Patient98_T_P	Patient117_T_P	Patient14_T_M	Patient58_T_M	Patient108_T_P	Patient147_T	Patient24_T_M	Patient47_T_M	Patient179_T	Patient45_T_M	Patient140_T	Patient112_T_P	Patient96_T_P	Patient62_T_P	Patient144_T	Patient188_T	Patient130_T_P	Patient27_T_M	Patient162_T	Patient142_T	Patient127_T_P	Patient33_T_M	Patient20_T_M	Patient30_T_M	Patient13_T_M	Patient78_T_P	Patient44_T_M	Patient172_T	Patient40_T_M	Patient42_T_M	Patient73_T_P	Patient86_T_P	Patient137_T	Patient37_T_M	Patient159_T	Patient158_T	Patient145_T	Patient167_T	Patient106_T_P
A2M	6.76977173924945	9.57633317240215	6.93934413283448	8.32300971061281	9.12866458654003	8.91581963867382	7.77379857375168	9.03014292618816	7.60984359159946	8.48574882137778	6.90315881111987	9.81458246590628	6.87073459397099	8.33311061488709	7.17801742239103	8.49793165189628	9.62649389382013	10.0969391171558	5.62702310555406	7.36080319925241	7.71884107472853	11.3320533368021	7.52692953822599	7.29984907373704	11.3147758173316	11.5930549216699	7.8586648694568	6.48607074373567	9.36025452499791	8.69265037003553	9.27986590271334	8.90177198109894	10.1562853681586	9.37142817779455	7.4715126480455	6.84121837392389	8.99370266292938	8.83816391699905	8.06096607400477	9.36023257368685	9.32303223565307	8.13185696060879	11.8225110825412	8.61120927336935	8.82001936342826	7.76347797090976	9.41662865802568	7.96000193206808	8.49325503512067	8.35482237847085	8.67972639226852	5.34447345945636	9.92130540448011	10.7593389560111	8.92982058023684	8.03831545449677	7.55282277189031	8.94450709741739	7.27351588970212	6.52997707390733	7.75855636218021	11.1243216722268	9.59929919447766	9.06444638238595	10.1309694688135	9.70324608058055	7.92504996472736	6.30597052098439	7.41616416473313	6.74200621086674	10.9056051228156	6.26528685756517	4.35543919724869	8.81784706252005	9.344673178824	9.24424489410549	8.3454052467178	7.59961534862161	7.89687728548624	6.29755828116819	7.57319272378161	7.54990015592366	6.97372606209238	7.77702512326077	6.89808739714995	8.88627577506939	7.86579512140335	8.9357543858214	7.55435861601352	8.97616312018505	6.00382707811148	8.17557449975104	6.16047653641289	9.50155856861334	8.54697160729232	9.83138642357435	8.44497344799927	8.84508227515744	8.3305584000308	6.25512301484779	9.27178981501035	9.23744899563932	7.20779526344899
ACSL3	9.75438647939723	6.46646398383497	5.64760232900762	8.36776418841972	5.53449743373817	5.35438163211332	5.71314590249026	4.67638025546692	7.66199181454016	6.2112069285929	6.14852742516046	6.86517649653178	6.90255600534463	8.27304958663691	6.28558716790947	6.95419631038687	7.09992635055603	6.5186924924252	6.07424852334703	8.50203616359938	4.30524096595448	5.88849973551412	6.58044701959866	6.70085582016029	5.93828579188405	6.65663937447301	6.48333211126848	6.25209770303744	6.07146236255662	6.97246290720214	7.50525580093216	7.31560245663795	5.43128865429159	6.36457243229586	7.27024859875042	5.98208090976374	5.77373265060786	6.58104990094504	5.31324585178756	7.70355756192103	7.50985416237699	6.48751850606578	6.79895774790043	5.83466065790173	7.71417681626651	6.38973887867698	6.83945576522463	5.91312876781974	7.63205004955295	7.44203115884688	7.48695566000674	4.55581615506164	5.53106949272595	6.66505161428921	6.9676297534662	4.84849775538515	4.62702310555406	4.90159099190337	6.45121111183233	5.91623776786777	7.70043971814109	5.99050111136325	6.64197946608669	5.92481250360578	6.15116879418666	5.75728999237877	7.17152710603881	6.11124002053246	3.30451104180995	7.31840723292932	7.79292040749027	6.03913839390696	5.62263756653746	7.6702313438412	7.45984141697577	5.87233628810464	5.67270819562222	6.39797404932677	8.29324171895624	4.8094144442359	8.11045720926279	7.50469983377583	7.99078472123283	7.37025148142518	5.67694435910691	5	6.0923343111862	5.40156220725607	5.19298316997399	6.90496571868403	5.23189316164533	5.50430258316317	7.1586601753465	5.78790255939143	5.48864353985378	5.86740230572754	6.71438291065141	6.01547080763938	5.69932952567316	5.69209237542757	7.23026066466979	7.24431625989121	6.82921532453273
ACSL4	4.91312876781974	4.51475349843975	4.27575204882853	4.41818994794577	3.32768736417605	4.12101540096137	4.16269343221124	5.33342373372519	4.70099449416827	3.61353165291793	3.674686619928	3.09423606984577	4.06004738366994	4.67525138605026	4.24031432933371	4.74200621086674	3.36597242759338	5.37225564844579	3.41006969175638	5.06177619758669	2.13750352374993	4.97865326490861	4.60407132366886	3.44095219802964	3.47248777146274	4.38474058729238	4.34340782229781	4.53791724903408	4.86740230572754	4.24488705912353	4.0686708106651	4.77925972037238	4.76075320806299	4.8011586560937	5.55151601762801	4.51475349843975	5.03562390973072	4.4541758931858	3.85099939471647	4.72465027173297	4.37573453858316	4.44426950241348	4.6564963705535	4.98823022306046	4.54039930563062	3.33485426933163	5.00450139223494	3.605257262939	5.15258906928713	4.83592407425437	3.76128527336162	2.38404980679516	3.73552217729654	4.78764141448333	4.70154905694307	3.39231742277876	3.36317107711924	4.77452352959023	3.50969584193339	3.81147103052984	4.73498052343589	3.77294133783134	5.20084957463721	3.76341157447001	4.9429835981871	4.92552476974757	4.99095486039699	4.21955576916691	3.24792751344359	4.41818994794577	4.88752527074159	3.47248777146274	4.22187708107703	3.87381319835909	4.74254523386605	4.29939120612683	2.52606881166759	5.31143045574974	4.61706334388818	2.40871186102943	4.12680770314203	4.54411440220947	4.57410150808939	5.30414594120295	5.04657836662033	5.48123434952853	6.26472407423801	3.73009646559547	3.90400231628369	4.93357263826102	2.58736499093646	4.91121220155861	3.40871186102943	3.92599941855622	4.47118746038699	5.05093696522523	5.09381367340273	4.80322703643493	3.08915913191124	4.07724299893246	4.5837597536395	4.79649392942584	4.42559357765306
ACTA2	5.80038224830338	6.51947900230724	5.95046841415012	7.35208757799023	4.76447355099267	4.71753934339116	5.59842476052772	6.2688460628732	5.97177344719337	6.20925839366556	5.42189651204225	5.5579614268932	5.4715126480455	5.86021792474585	7.0275743044105	5.69181329717138	5.43895814789755	7.49257426357333	3.99548451887751	5.90713102474679	6.51822038059959	6.27612440527424	8.26425492037192	5.51633038682594	7.61463623534758	5.88190928904719	5.50271248596606	6.2667865406949	6.83453425539226	4.78972925137577	7.20769766865505	4.78502736223547	6.78659636189081	7.14282184411593	5.97659276223859	7.76155123244448	7.92255467144305	3.76553474636298	7.85673675611911	6.2807707701306	6.61632828755145	8.19495379593384	5.08491465976794	5.16027483140859	5.81403764753998	6.6387978999517	6.85312238282475	5.85673675611911	6.34411833452143	7.79285535236249	5.63197732023875	5.38715571766298	6.68636045290369	6.91492323926577	9.47309688907403	6.22824149703314	3.08065766334523	8.17417668445276	6.32409051603798	6.20339694854612	2.30158764660319	6.49633451341711	5.3305584000308	8.33922648141743	6.97945377741666	7.9676297534662	6.49681384064038	6.38956681176273	2.41413553298445	5.12350066435096	6.45811948117451	5.0746766862945	2.25701061820602	6.22689381357139	4.50842865253186	5.88215391728701	5.04308198189566	5.81583156646482	5.17352723812251	5.5963388642052	6.11540785541406	5.65334669272218	5.28725064325462	5.94743238947137	6.854993016757	7.45401134285304	5.97269265400426	4.877744249949	7.62819033461521	8.42873702494251	4.75221336786514	7.95215881074705	6.36387192485753	4.78659636189081	5.89190518821193	8.39964108969106	6.45220004940622	8.81278699214764	6.92516868063287	6.52136487844622	7.525364198691	4.70154905694307	6.74926608381481
ACTB	12.000616254184	11.1212356231583	11.6369644113301	11.1207757091917	9.87536540064177	10.1027237355473	11.175742894992	12.6862466325366	11.4833069158881	11.3297571035563	11.0347233188142	11.8230208561145	12.1633005946637	12.2123747875673	10.7959746942067	10.5194003706113	11.2541192201314	12.3271034862193	9.35449183132669	11.9314836209393	10.0410704557683	11.4261127185075	11.4666322177507	11.9428443521663	11.0367025037777	10.9005800513902	11.0457391877979	11.1312010410517	11.7480586391572	10.352837958637	12.1411204528437	11.3407458431389	12.191975263309	12.0507635539574	11.5443849208148	11.939615942336	12.4917028077686	10.5330181855701	10.4867948065066	11.44759985828	11.5528803955614	11.3968241654527	12.0818362460685	11.9863611568633	11.7813638120843	11.4536050288403	11.9394396393057	11.2315212108757	11.1148615130512	12.3763343423869	11.1566077122103	10.3406290259518	10.6049979220134	12.3457295671401	11.279111412754	11.6482811755762	8.90171165388988	12.7740313407563	12.4287265581539	12.3234122926754	10.7369430518801	11.3442404185779	10.4130460798367	11.628609576994	11.5268904254299	12.1882426562644	11.297363395964	11.1367220230804	8.29902480738432	11.2580948728665	11.8989905376105	10.5520734546465	10.5496210441552	12.2575616864	11.3158288505248	11.3263115049	9.80534082841638	13.4436467936912	10.7755197494225	11.6547478957045	11.5380725027379	10.6297208910173	11.2665171812495	11.2544322428313	11.4071030878869	12.0733516454135	12.4428035725186	9.72509354315919	12.0829939150898	12.9586542079945	10.89549197475	12.0220036252882	11.6785517257019	11.2726880980679	11.2975697441839	11.8611295657019	12.3551060377148	11.7387002933164	11.6388702862461	12.1337876194457	11.5829557972284	11.337014147416	11.8496123024287
ADM	1.87578006306849	2.79701297783614	2.46727948045998	4.85748342828667	1.18903382439002	1.53106949272595	4.00090140274153	3.51222688651396	0.34482849699744	0.722466024471091	0.555816155061639	4.67694435910691	4.27872821293894	2.40599235967584	1.31034012061215	2.85199883711245	1.75274859140713	2.67581593117227	2.3533232911629	1.50080205305716	0.495695162624068	1.6915341649192	5.10726939359254	1.0703893278914	3.88459792099006	3.81147103052984	2.48284828306847	4.06177619758669	2.34482849699744	1.11769504266975	3.46466826700344	5.11270013274936	2.68257329734758	2.76765479823735	2.97636363573276	2.50080205305716	4.64616265715789	2.23572705983806	3.69488019279919	3.75702324650746	3.55826763405574	3.46466826700344	3.98367769469807	1.52606881166759	3.20789285164133	4.03121873061072	2.40599235967584	1.16349873228288	4.50080205305716	3.5033487351675	1.74416109557041	1.71369581484336	1.10433665981474	3.55826763405574	5.21179097625254	2.4276061727819	0.678071905112638	4.08746284125034	3.19377174339668	4.89093302170554	1.94110631094643	2.67581593117227	3.63226821549951	2.15704371014558	1.16349873228288	3.7771566660045	3.93357263826102	3.44360665147561	1.22032995487956	4.13422093976063	6.35385255868613	2	0.933572638261024	4.98777561614291	4.92647391125607	3.42223300068305	5.00674683244059	2.35614381022528	2.02147972741045	3.33913738491959	5.87381319835909	2.28392177230762	5.64645070648318	4.77978500530113	3.42492208821069	4.0496307677246	4.80580834870147	0.464668267003445	4.26303440583379	2.88557436437143	1.31614574229336	2.98913900736823	2.48284828306847	1.90689059560852	1.86393845042397	1.81966818349646	1.68257329734758	1.28688114778816	3.30451104180995	4.48542682717024	2.6667565918848	0.985500430304886	2.95977015521147
AEBP1	9.89554498925339	8.66099419864678	5.44426950241348	9.69123752771431	6.47783920078185	5.88508622529017	8.41835863488438	7.36115424129828	7.1935746404466	7.00652244562298	7.58308276750293	10.834281417144	7.30988557098777	10.0303084867852	7.85187394467062	7.92320861790319	6.81928498059698	8.7878046355903	5.62906513709228	10.554771095524	7.91951885875413	9.95006009047263	7.44252886873253	8.13149688482969	8.77495174141642	8.12028972528866	7.47540919340106	9.71211425152201	9.07791056099074	8.39989738655456	8.29443695437696	10.5548478228884	9.30508132660139	10.8895419886099	7.94315946868947	8.6591753380861	10.3297627085737	9.47798082494893	8.70987647374918	10.9220268394059	10.8668693516665	8.58560105250255	7.80774130648367	7.22881869049588	9.8758721940913	8.80700064540468	9.65499397296372	8.40782008959513	7.65721124844379	11.3064206091838	10.2253159061771	5.28983446517751	8.00022540349095	8.82699330264389	10.3194689101514	7.94725703911674	6.09296850932414	8.96500501891932	7.5996897277643	10.4250165353007	7.33324481699638	9.77911194951991	8.88413998555695	8.03848007993665	10.3682772708691	9.99916852013257	8.28849699225638	9.73301532168596	4.01167453338092	7.54712588972652	8.44629759096641	8.54469402283607	8.11348172827596	12.6495570819002	7.62483200245346	10.2693604843587	8.25176642434399	10.4685833170068	9.86709337083677	7.93981425749555	7.46507658077542	7.55420510515565	10.9599222629735	8.61459942955535	8.2644426002266	7.24460168773681	8.08268130295035	6.18903382439002	7.08257486633952	9.84996799406488	9.30795213574754	8.51400387224109	8.63604452602804	9.57952336901275	7.53737372946218	8.90662006492531	7.42332604706989	8.51841711263607	8.47041484580542	7.65821148275179	8.70860110981008	6.92207888776625	8.92112684943037
AEN	4.38128337250378	3.61823865559545	3.9126498648972	3.72683121703249	2.98913900736823	2.23878685958712	3.39231742277876	3.14567745519564	4.11353381959191	2.92599941855622	3.02856915219677	5.05050169744673	4.4541758931858	4.02236781302845	4.48735771531155	4.10936055940423	3.02502879449152	3.7235585614721	2.87381319835909	3.76128527336162	1.8073549220576	3.61470984411521	6.13688860790307	3.59454854955035	3.03562390973072	3.66789212523023	2.87381319835909	3.11603199344711	3.01970191444255	2.51349074558812	3.5909612413426	3.41142624572647	2.88362081628567	3.75274859140713	1.38404980679516	4.0232553523003	3.51349074558812	3.5298209465287	2.24792751344359	3.21412480535285	4.26077843189343	4.42827641439251	3.71808758396052	3.27947129564447	4.58796498888268	2.85199883711245	4.47767732756531	3.4262647547021	3.69488019279919	4.41345868800798	4.15299460549244	2.38404980679516	2.87970576628229	3.66334461936608	2.46205231879643	3.89530262133331	1.17632277264046	3.34766565630097	4.39506279951758	5.37330019660839	3.5957423394744	3.57410150808939	2.02502879449152	3.16832111573972	3.51222688651396	4.98686597232911	3.19377174339668	2.14404636961671	0	4.07724299893246	3.63459326844576	2.6667565918848	2.22342254993494	3.44228003525258	3.62058641045188	3.4867143730307	4.66959375118833	4.75435307169213	3.57288966842058	3.22496636500027	3.99548451887751	3.16992500144231	4.39643353125099	2.75274859140713	4.21878116778407	2.39506279951758	3.76234881564413	1.79493566280354	4.48928602262588	4.50652577904312	1.02856915219677	3.44493204894218	3.75915583380027	4.22804904788446	3.91838623444635	3.47767732756531	2.98185265328974	2.31034012061215	3.96254902292306	3.90881290773955	4.48607074373567	4.12350066435096	3.98185265328974
AGA	5.09127669436522	5.07382023329167	5.10601323762212	4.16430358309365	3.28095631383106	4.63923216324928	5.54689445988764	4.93828579188405	6.34819700307791	4.74254523386605	5.02680005934372	3.91647664443772	5.49729300866279	5.02103547951136	3.67355642399014	4.22650852980868	5.13010717865883	4.78972925137577	4.8870377914192	4.46727948045998	4.1243281350022	3.89627184880738	2.55826763405574	4.29792505250381	4.29719141656586	4.56437816856506	3.20320115631661	4.81813476081085	5.20554891117303	5.35895882583233	5.0703893278914	4.97131362406888	4.39369076418745	3.90303827011291	6.24107745817504	4.57288966842058	4.42021289061078	5.24260250592898	3.56315813040281	5.31542131594578	4.94860084749336	3.73443866613717	4.19613488076516	4.43362716708478	5.23802251782572	5.3212065669699	6.22689381357139	3.74308405554959	4.28762004411207	5.44360665147561	4.57046293102604	2.72027846523333	4.01792190799726	4.22342254993494	5.07724299893246	3.9429835981871	2.6507645591169	3.82171021503467	3.49185309632967	4.05398016818765	7.64939990087277	4.24564777363675	4.9500017490835	5.05050169744673	5.0574502721839	4.9500017490835	5.03738222200308	3.09085343045111	2.41953889151378	5.29829173062012	4.77346892790519	4.72410451986685	4.34269695998193	4.26153081524341	3.6724253419715	3.58255600301406	3.17951105027151	5.00943675560809	5.49537538094463	3.79493566280354	4.3212065669699	4.37851162325373	4.52606881166759	4.07809742302666	3.7771566660045	5.20124177119825	3.64500988439109	4.36667191611176	3.84096670448742	3.98641093525204	1.61823865559546	4.57228336665041	3.12267271882414	3.52230689287139	4.62643913669732	4.58796498888268	4.2861418728343	4.58436125251871	3.54473265593262	2.35614381022528	5.09423606984577	5.33771109212829	4.08915913191124
AHCY	6.47654370621426	6.53729606709084	6.29994062982407	5.45516280124451	6.98834385241041	6.44360665147561	5.83238371654913	4.95559179175399	5.92291140625819	5.62351574149055	4.81915722367497	7.25521745369447	6.79869859664396	5.78240856492737	5.68818035858693	6.49968646445849	4.85099939471647	6.56879217804153	5.44526320814044	6.3215673760354	6.12329372251013	5.65563804923464	7.51064550409004	6.72587745912023	6.17971008387062	5.19692173382033	6.09191135749191	5.01658546043445	5.21179097625254	6.77016832010343	6.41616416473313	6.47183776242229	6.59946657883123	5.6406787642337	4.38404980679516	8.03281716269025	6.19199684666977	5.68144926531496	5.36632221424582	4.8293421939028	5.68173035543585	6.30505851953743	5.54966917072649	6.00090140274153	6.47411151394241	5.50493813164961	5.79493566280354	5.47281266619239	6.45088131527337	4.84398384404833	7.57213175138666	4.89093302170554	6.61161503769234	6.52559910792231	4.60999129521268	6.50000529209313	6.52825874275841	5.28503224962291	6.67086865483731	6.25701061820602	2.6959938131099	7.45885770533525	4.98458935036246	5.48767927890162	5.63459326844576	5.47411151394241	4.79597469420667	7.00011270614754	3.92124588858559	6.50239425611126	6.75381844317354	5.5413289770456	5.65764000520782	5.27426166125705	5.59514556799086	6.49633451341711	5.34411833452143	6.00674683244058	4.52481592835751	6.25209770303744	6.11914863981125	5.91241035380827	5.3823214071145	4.06608919045777	5.6046644151637	4.6246858105254	4.93498820178348	5.23572705983806	6.34837407519116	5.42727093517358	5.30597052098439	5.71066869967463	5.62877359520165	6.69125497865013	7.14067642036902	4.6246858105254	4.66618848987278	4.75808993420181	6.60895705221829	6.53884852074424	5.9205315062779	6.76844901518055	6.17152710603881
