6	18	2	3	4	6.1	6.2	8	9	•15	16	18.1	24	25	49	50	52	54
ACO2	10.08	12.05	10.25	9.856	9.435	10.39	10.34	10.38	9.843	9.872	10.51	11.87	9.457	10.25	10.05	10.9	7.237	10.58
ACTB	14.83	16.64	15.67	15.73	15.65	15.79	14.98	15.43	15.23	15.89	15.48	18.08	14.78	14.89	15.09	15.88	14.38	15.64
ACVR1C	4.871	0.2619	4.854	5.885	5.907	7.467	6.95	5.084	5.758	6.083	8.276	8.555	4.589	4.5	4.33	8.617	8.682	8.076
ACVR2A	7.803	9.604	8.024	8.473	8.464	7.305	6.003	9.071	7.931	7.915	7.658	9.859	7.626	7.629	6.707	8.054	7.828	7.591
ACVR2B	5.241	8.909	7.152	8.216	6.638	6.116	5.521	6.33	7.044	7.315	7.919	11.34	7.401	5.845	6.861	7.892	9.837	7.306
ADA	6.879	8.175	6.059	7.118	8.186	7.031	5.845	7.698	7.213	7.931	7.721	9.13	7.085	6.118	6.652	7.374	3.741	7.616
AIM2	6.367	5.306	12.13	7.534	7.707	7.587	6.075	8.704	8.336	6.544	8.955	9.13	9.69	1.92	6.978	8.561	12.01	8.575
ALAS1	8.679	10.39	9.802	8.686	8.248	8.999	8.854	9.381	9.364	9.508	9.048	10.8	8.586	8.199	9.567	12.12	10.08	8.897
ALCAM	10.01	7.593	10.13	9.304	9.496	8.517	7.924	10.01	8.202	8.325	7.02	10.12	8.647	7.633	6.778	9.42	9.975	10.01
AMICA1	8.93	9.047	11.59	10.16	10.2	8.59	6.553	12.59	10.82	8.682	7.569	12.98	9.549	6.697	8.426	10.63	12.38	9.449
AMIGO1	0	6.976	3.327	5.166	5.357	4.827	0	5.582	3.178	4.846	2.494	7.985	3.293	4.605	3.762	6.011	4.84	5.546
AMIGO2	6.209	0.2619	8.05	8.7	7.019	8.67	2.633	9.132	7.685	6.27	3.968	9.28	7.072	4.795	5.741	9.085	10.95	7.722
AMIGO3	3.994	0	0	0.1722	4.976	1.472	0	3.188	1.15	2.183	0	0	3.459	0	5.809	4.41	4.84	3.31
ANGPT1	6.4	7.593	8.856	9.146	9.064	8.434	4.012	7.123	7.922	6.565	6.388	10.59	8.41	6.697	5.826	8.118	11.63	8.038
ANGPT2	7.714	6.976	7.601	8.997	9.428	8.741	6.578	6.953	8.148	7.592	8.234	10.34	9.001	11.36	8.148	6.338	10.1	7.658
