1	3	4	7	9	16	19	24	40	47	2	19.1	26	43	45	49	50
ACO2	9.227	10.9	9.452	10.44	10.31	10.48	10.38	10.18	10.7	10.13	10.71	10.26	11.03	10.15	10.39	10.29	10.82
ACTB	15	17.27	14.14	15.84	15.74	15.44	14.66	15.85	15.46	15.85	14.57	14.39	15.67	15.19	15.22	15.34	15.32
ACVR1C	5.192	7.115	4.615	5.438	7.316	8.698	6.324	6.277	4.872	7.138	5.314	5.081	2.016	6.354	7.181	2.578	6.48
ACVR2A	7.494	9.328	8.536	9.261	9.437	7.716	7.401	7.846	8.119	7.27	7.737	6.867	7.705	8.314	8.257	7.592	7.876
ACVR2B	9.559	6.968	8.095	6.13	6.236	7.133	7.189	6.71	8.374	7.352	6.692	6.321	8.043	4.811	7.664	6.191	8.941
ADA	6.425	7.903	7.864	6.86	7.867	7.795	7.308	8.884	7.852	7.85	6.783	6.462	7.188	7.605	7.703	7.141	7.426
AIM2	3.737	9.372	3.442	8.525	8.5	10.21	4.721	10.17	5.23	10.88	7.441	4.223	7.671	3.444	8.828	7.862	7.646
ALAS1	8.372	10.02	8.371	10.15	9.807	9.123	8.755	9.473	9.048	9.854	8.843	8.547	10.43	8.371	9.583	9.16	10.31
ALCAM	5.073	9.811	8.438	9.982	9.638	8.481	8.047	9.367	6.099	9.05	8.098	7.509	8.173	5.99	8.888	8.478	10.52
AMICA1	6.437	11.74	6.258	12.34	12.68	7.748	7.582	12.65	7.542	11.75	8.375	7.311	6.618	6.354	9.38	9.912	8.444
AMIGO1	5.073	5.24	3.878	5.438	6.033	3.753	4.416	5.074	2.855	3.897	4.662	3.924	0	2.148	4.318	2.578	2.975
AMIGO2	6.691	9.551	3.551	8.737	9.036	5.684	5.282	9.325	5.662	9.302	5.953	5.433	8.984	8.149	9.38	8.131	7.526
AMIGO3	4.085	0	2.414	4.06	5.663	1.494	0.8137	4.777	3.82	0	0	1.223	3.543	1.191	1.782	4.1	3.186
ANGPT1	10.57	9.43	9.057	6.734	7.773	7.019	7.086	7.619	4.612	8.497	7.149	7.509	5.026	7.846	7.89	6.513	6.613
ANGPT2	8.786	8.763	8.049	8.16	7.927	7.956	7.294	8.018	6.375	7.748	9.334	6.755	5.817	9.129	8.238	8.162	7.757
ANGPT4	0	2.07	0	3.833	5.515	0	1.707	5.243	1.922	5.04	2.591	0.2232	0	0.2739	2.919	2.578	3.369
AOC3	7.754	10.83	5.491	6.976	7.985	6.383	7.138	9.502	6.761	10.14	6.857	7.92	6.218	8.07	8.376	8.256	8.06
ARG1	3.045	7.371	2.628	11.83	7.019	6.403	6.542	5.53	2.855	5.535	4.287	1.223	2.321	0	4.104	2.309	2.432
ARG2	3.48	4.607	5.659	5.355	5.35	7.045	3.734	4.982	4.528	4.937	5.51	0	3.286	4.435	6.579	5.411	3.186
B2M	13.83	17.75	14.22	18.04	18.15	16.45	15.11	18.03	14.7	18.47	17	15.08	16.75	13.96	16.81	17.2	17.61
BATF3	3.279	4.607	4.615	6.13	7.125	0	3.734	5.824	1.27	6.058	4.137	2.393	3.42	4.696	5.188	4.601	4.652
BCAM	7.404	8.891	5.407	8.354	7.636	5.616	7.189	7.779	7.727	7.808	6.566	6.793	5.521	7.749	6.579	6.722	6.995
BCAN	5.405	0	1.47	0	0	5.929	2.53	0	9.74	0	5.205	3.13	9.217	9.759	0	6.414	0
BECN1	9.752	11.38	9.684	11.15	10.69	10.56	10.23	10.58	10.05	11.3	9.978	10.24	10.05	9.264	10.72	10.11	10.53
BGN	9.36	13.59	8.526	8.745	10.25	8.975	8.774	10.37	8.129	9.923	7.999	8.226	7.13	10.49	9.618	9.647	9.168
BID	7.783	8.493	9.194	9.244	9.555	8.731	7.484	9.367	6.798	8.729	8.503	6.86	6.547	8.294	8.555	8.503	9.332
BMPR1A	12.8	9.821	8.126	9.897	9.262	8.909	8.395	9.663	10.03	9.899	8.284	8.381	9.34	9.09	9.213	8.261	9.722
