5	7	8	9	10	18	19	22	23	25	31	37	42	43	47	50
ACO2	9.795	10.35	10.35	9.471	10.28	10.74	9.424	11.02	9.905	9.974	9.798	10.26	10.02	10.27	9.806	11.08
ACTB	15.25	15.72	15.34	15.18	15.19	15.38	14.04	15.36	14.79	15.67	15.15	16.23	15.52	15.22	15.7	15.6
ACVR1C	5.603	8.303	7.298	4.851	5.177	4.329	6.177	5.578	4.347	4.454	6.385	4.926	4.097	7.155	5.566	7.671
ACVR2A	7.545	9.168	9.345	8.11	9.563	9.123	7.137	7.771	8.178	8.41	7.587	8.833	7.768	8.338	8.797	7.288
ACVR2B	6.173	6.846	6.604	6.632	5.886	6.067	7.226	7.848	6.175	6.177	7.555	7.16	7.257	6.461	7.212	8.01
ADA	6.532	8.254	7.986	6.805	6.277	7.806	6.66	5.578	6.558	7.476	7.419	7.466	7.304	8.03	7.759	6.985
AIM2	6.428	6.058	4.45	5.568	4.692	6.6	8.672	6.43	6.065	7.486	6.938	6.801	6.846	3.496	7.383	5.28
ALAS1	8.659	9.32	9.303	8.81	8.956	8.92	8.66	8.241	8.737	8.916	8.823	9.251	9.073	8.517	9.068	9.883
ALCAM	9.315	9.629	9.911	8.523	9.468	8.076	7.612	9.459	8.567	9.053	7.239	8.683	8.757	7.259	9.211	9.149
AMICA1	9.164	9.896	9.722	8.994	9.98	9.713	8.089	8.083	8.178	10.42	9.209	9.716	9.959	7.817	9.963	8.342
AMIGO1	4.517	2.113	5.801	3.266	3.287	4.178	4.648	5.649	4.577	4.923	3.434	0.1713	5.395	3.566	3.094	3.963
AMIGO2	6.613	8.135	7.683	6.469	6.494	6.191	5.29	8.957	5.772	7.29	6.781	9.464	7.672	9.454	7.135	6.6
AMIGO3	5.116	0	2.935	3.693	3.107	1.086	3.284	4.046	2.648	2.908	3.286	0	4.53	3.697	1.957	2.604
ANGPT1	7.486	9.741	8.082	7.54	7.727	7.366	9.415	8.772	8.434	7.075	7.269	9.422	6.024	7.061	7.641	5.28
ANGPT2	9.137	8.09	9.598	7.399	9.047	7.806	6.085	7.412	8.133	11.88	7.618	8.916	7.066	8.596	8.032	6.735
ANGPT4	3.945	0	4.883	2.315	0	0	2.846	5.059	3.155	0.5865	2.469	0	3.021	2.985	1.22	0
AOC3	8.502	12.2	10.36	8.409	7.462	8.793	5.662	5.781	8.303	6.968	8.613	10.08	7.734	9.637	9.371	7.505
ARG1	4.976	10.76	6.52	7.444	11.92	6.833	2.846	3.819	4.95	6.912	3.434	11.71	3.339	3.979	7.906	3.21
ARG2	7.137	3.698	4.772	3.362	5.082	4.399	2.968	8.444	5.311	5.363	5.334	6.194	5.462	4.38	3.094	1.988
B2M	17.25	16.74	16.07	15.91	16.11	16.83	16.47	15.93	16.63	17.6	16.25	16.37	16.81	14.43	16.43	15.77
BATF3	4.517	2.961	4.216	3.9	3.107	3.917	4.365	2.172	4.728	3.992	3.91	0	5.884	5.577	3.542	3.21
BCAM	7.634	9.616	9.231	7.953	8.079	7.584	5.817	6.72	8.484	6.968	8.067	9.288	7.267	8.12	8.131	6.948
